date,office,race_type,party,special,url,reporting_level,jurisdiction
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Arkansas/39378/83876/reports/detailxml.zip,precinct,Arkansas
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Ashley/39379/83531/reports/detailxml.zip,precinct,Ashley
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Baxter/39380/83956/reports/detailxml.zip,precinct,Baxter
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Benton/39381/83973/reports/detailxml.zip,precinct,Benton
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Boone/39382/83878/reports/detailxml.zip,precinct,Boone
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Bradley/39383/83819/reports/detailxml.zip,precinct,Bradley
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Calhoun/39384/83329/reports/detailxml.zip,precinct,Calhoun
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Carroll/39385/83816/reports/detailxml.zip,precinct,Carroll
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Chicot/39386/83880/reports/detailxml.zip,precinct,Chicot
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Clark/39387/83525/reports/detailxml.zip,precinct,Clark
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Clay/39388/83397/reports/detailxml.zip,precinct,Clay
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Cleburne/39389/83417/reports/detailxml.zip,precinct,Cleburne
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Cleveland/39390/83505/reports/detailxml.zip,precinct,Cleveland
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Columbia/39391/83344/reports/detailxml.zip,precinct,Columbia
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Conway/39392/83719/reports/detailxml.zip,precinct,Conway
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Craighead/39393/83964/reports/detailxml.zip,precinct,Craighead
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Crawford/39394/83925/reports/detailxml.zip,precinct,Crawford
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Crittenden/39395/83774/reports/detailxml.zip,precinct,Crittenden
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Cross/39396/83955/reports/detailxml.zip,precinct,Cross
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Dallas/39397/83932/reports/detailxml.zip,precinct,Dallas
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Desha/39398/83860/reports/detailxml.zip,precinct,Desha
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Drew/39399/83842/reports/detailxml.zip,precinct,Drew
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Faulkner/39400/83877/reports/detailxml.zip,precinct,Faulkner
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Franklin/39401/83722/reports/detailxml.zip,precinct,Franklin
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Fulton/39402/83850/reports/detailxml.zip,precinct,Fulton
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Garland/39403/83851/reports/detailxml.zip,precinct,Garland
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Grant/39404/83543/reports/detailxml.zip,precinct,Grant
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Greene/39405/83868/reports/detailxml.zip,precinct,Greene
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Hempstead/39406/83924/reports/detailxml.zip,precinct,Hempstead
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Hot_Spring/39407/83736/reports/detailxml.zip,precinct,Hot Spring
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Howard/39408/83881/reports/detailxml.zip,precinct,Howard
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Independence/39409/83534/reports/detailxml.zip,precinct,Independence
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Izard/39410/83796/reports/detailxml.zip,precinct,Izard
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Jackson/39411/83799/reports/detailxml.zip,precinct,Jackson
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Jefferson/39412/83792/reports/detailxml.zip,precinct,Jefferson
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Johnson/39413/83810/reports/detailxml.zip,precinct,Johnson
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Lafayette/39414/83528/reports/detailxml.zip,precinct,Lafayette
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Lawrence/39415/83929/reports/detailxml.zip,precinct,Lawrence
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Lee/39416/83846/reports/detailxml.zip,precinct,Lee
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Lincoln/39417/83770/reports/detailxml.zip,precinct,Lincoln
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Little_River/39418/83530/reports/detailxml.zip,precinct,Little River
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Logan/39419/83720/reports/detailxml.zip,precinct,Logan
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Lonoke/39420/83889/reports/detailxml.zip,precinct,Lonoke
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Madison/39421/83778/reports/detailxml.zip,precinct,Madison
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Marion/39422/83762/reports/detailxml.zip,precinct,Marion
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Miller/39423/83529/reports/detailxml.zip,precinct,Miller
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Mississippi/39424/83416/reports/detailxml.zip,precinct,Mississippi
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Monroe/39425/83485/reports/detailxml.zip,precinct,Monroe
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Montgomery/39426/83724/reports/detailxml.zip,precinct,Montgomery
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Nevada/39427/83527/reports/detailxml.zip,precinct,Nevada
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Newton/39428/83452/reports/detailxml.zip,precinct,Newton
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Ouachita/39429/83726/reports/detailxml.zip,precinct,Ouachita
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Perry/39430/83960/reports/detailxml.zip,precinct,Perry
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Phillips/39431/83974/reports/detailxml.zip,precinct,Phillips
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Pike/39432/83351/reports/detailxml.zip,precinct,Pike
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Poinsett/39433/83844/reports/detailxml.zip,precinct,Poinsett
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Polk/39434/83854/reports/detailxml.zip,precinct,Polk
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Pope/39435/83910/reports/detailxml.zip,precinct,Pope
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Prairie/39436/83952/reports/detailxml.zip,precinct,Prairie
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Pulaski/39437/83885/reports/detailxml.zip,precinct,Pulaski
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Randolph/39438/83521/reports/detailxml.zip,precinct,Randolph
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Saline/39439/83430/reports/detailxml.zip,precinct,Saline
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Scott/39440/83723/reports/detailxml.zip,precinct,Scott
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Searcy/39441/83475/reports/detailxml.zip,precinct,Searcy
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Sebastian/39442/83802/reports/detailxml.zip,precinct,Sebastian
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Sevier/39443/83864/reports/detailxml.zip,precinct,Sevier
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Sharp/39444/83717/reports/detailxml.zip,precinct,Sharp
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/St_Francis/39445/83797/reports/detailxml.zip,precinct,St Francis
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Stone/39446/83491/reports/detailxml.zip,precinct,Stone
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Union/39447/83943/reports/detailxml.zip,precinct,Union
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Van_Buren/39448/83535/reports/detailxml.zip,precinct,Van Buren
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Washington/39449/83896/reports/detailxml.zip,precinct,Washington
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/White/39450/83533/reports/detailxml.zip,precinct,White
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Woodruff/39451/83715/reports/detailxml.zip,precinct,Woodruff
2012-05-22,,primary,,False,http://results.enr.clarityelections.com/AR/Yell/39452/83432/reports/detailxml.zip,precinct,Yell
