date,office,district,url,race_type,special,reporting_level,jurisdiction,winners,skip_loading,notes
2000-01-04,State House,53,http://sos.iowa.gov/elections/pdf/results/2000s/2000HD53.pdf,general,TRUE,,,,,
2000-11-07,President,,http://sos.iowa.gov/elections/pdf/2000 G PresVp.pdf,general,,county,,,,
2000-11-07,U.S. House of Representatives,,http://sos.iowa.gov/elections/pdf/2000 G USH USS.pdf,general,,county,,,,
2000-11-07,State Senate,,http://sos.iowa.gov/elections/pdf/2000 G IS.pdf,general,,county,,,,
2000-11-07,State House,,http://sos.iowa.gov/elections/pdf/2000 G IH.pdf,general,,county,,,,
2000-11-07,,,http://sos.iowa.gov/elections/pdf/2000PctbyPct.pdf,general,,precinct,,,,
2001-06-12,State Senate,43,http://sos.iowa.gov/elections/pdf/results/2000s/2001SS43.pdf,general,TRUE,county,,,,
2001-06-12,State House,85,http://sos.iowa.gov/elections/pdf/results/2000s/2001HD85.pdf,general,TRUE,county,,,,
2001-11-06,State House,82,http://sos.iowa.gov/elections/pdf/results/2000s/2001HD82.pdf,general,TRUE,county,,,,
2002-01-22,State House,28,http://sos.iowa.gov/elections/pdf/results/2000s/2002HD28.pdf,general,TRUE,county,,,,
2002-02-19,State Senate,39,http://sos.iowa.gov/elections/pdf/results/2000s/2002SS39.pdf,general,TRUE,county,,,,
2002-03-12,State Senate,10,http://sos.iowa.gov/elections/pdf/results/2000s/2002SS10.pdf,general,TRUE,state,,,,
2002-06-04,U.S. Senate,,http://sos.iowa.gov/elections/pdf/2002/results/PRI_USSenator.pdf,primary,,county,,,,
2002-06-04,U.S. House of Representatives,,http://sos.iowa.gov/elections/pdf/2002/results/PRI_USRep.pdf,primary,,county,,,,
2002-06-04,Governor,,http://sos.iowa.gov/elections/pdf/2002/results/PRI_Governor.pdf,primary,,county,,,,
2002-06-04,Secretary of State,,http://sos.iowa.gov/elections/pdf/2002/results/PRI_SecofState.pdf,primary,,county,,,,
2002-06-04,State Auditor,,http://sos.iowa.gov/elections/pdf/2002/results/PRI_AuditorofState.pdf,primary,,county,,,,
2002-06-04,State Treasurer,,http://sos.iowa.gov/elections/pdf/2002/results/PRI_TreasurerofState.pdf,primary,,county,,,,
2002-06-04,Iowa Secretary of Agriculture,,http://sos.iowa.gov/elections/pdf/2002/results/PRI_SecofAgriculture.pdf,primary,,county,,,,
2002-06-04,State Attorney General,,http://sos.iowa.gov/elections/pdf/2002/results/PRI_AttGeneral.pdf,primary,,county,,,,
2002-06-04,State Senate,,http://sos.iowa.gov/elections/pdf/2002/results/PRI_StateSenate.pdf,primary,,county,,,,
2002-06-04,State House,,http://sos.iowa.gov/elections/pdf/2002/results/PRI_StateRep.pdf,primary,,county,,,,
2002-11-05,,,http://sos.iowa.gov/elections/pdf/2002/results/Canvass Summary.pdf,general,,county,,,,
2002-11-05,Governor,,http://sos.iowa.gov/elections/pdf/2002/results/GovernorCanvass.pdf,general,,county,,,,
2002-11-05,,,http://sos.iowa.gov/elections/pdf/2002GEResultsByPCT.pdf,general,,precinct,,,,
2002-11-05,,,http://sos.iowa.gov/elections/pdf/2002/results/2002 General Election Candidate Winners.pdf,,,state,,TRUE,,
2003-01-14,State Senate,26,http://sos.iowa.gov/elections/pdf/results/2000s/2003SS26.pdf,general,TRUE,county,,,,
2003-02-11,State House,62,http://sos.iowa.gov/elections/pdf/results/2000s/2003HD62.pdf,general,TRUE,county,,,,
2003-08-05,State House,100,http://sos.iowa.gov/elections/pdf/results/2000s/2003HD100.pdf,general,TRUE,county,,,,
2003-08-26,State House,30,http://sos.iowa.gov/elections/pdf/results/2000s/2003HD30.pdf,general,TRUE,county,,,,
2004-06-08,,,http://sos.iowa.gov/elections/pdf/2004/primary/PrimaryCanvassSummaryFinal.pdf,primary,,county,,,,
2004-06-08,,,http://sos.iowa.gov/elections/pdf/2004/primary/WinnersList.pdf,primary,,state,,TRUE,,
2004-11-02,,,http://sos.iowa.gov/elections/pdf/2004/general/CanvassSummary.pdf,general,,county,,,,
2004-11-02,,,http://sos.iowa.gov/elections/pdf/2004/general/PctByPct.pdf,general,,precinct,,,,
2004-11-02,,,http://sos.iowa.gov/elections/pdf/2004/general/CandidateWinners.pdf,general,,state,,TRUE,,
2004-02-03,State Senate,30,http://sos.iowa.gov/elections/pdf/results/2000s/2004SS30.pdf,general,TRUE,county,,,,
2006-11-07,,,http://sos.iowa.gov/elections/results/2006genstatewidepct.xlsx,general,FALSE,precinct,,,,
2006-11-07,Governor,,http://sos.iowa.gov/elections/pdf/results/offResultsGovLtGov.pdf,general,FALSE,county,,,,
2006-11-07,,,http://sos.iowa.gov/elections/pdf/GenOffResults.pdf,general,FALSE,county,,,,
2006-11-07,,,http://sos.iowa.gov/elections/pdf/winnerlistgen06.pdf,general,FALSE,state,,TRUE,,
2006-06-06,,,http://sos.iowa.gov/elections/pdf/2006/primary/2006PrimaryElectionOfficialResults.pdf,primary,FALSE,county,,,,
2006-06-06,,,http://sos.iowa.gov/elections/pdf/2006/primary/2006PrimaryElectionWinnerList.pdf,primary,FALSE,state,,TRUE,,
2008-11-04,,,http://sos.iowa.gov/elections/results/http://sos.iowa.gov/elections/results/xls/2008/statewidegenpct.xlsx,general,FALSE,precinct,,,,
2008-11-04,,,http://sos.iowa.gov/elections/pdf/2008/OfficialCanvass2008General.pdf,general,FALSE,county,,,,
2008-11-04,,,http://sos.iowa.gov/elections/pdf/2008/WinnerList2008General.pdf,general,FALSE,state,,TRUE,,
2008-06-03,,,http://sos.iowa.gov/elections/pdf/2008/OfficialResultsReport2008Primary.pdf,primary,FALSE,county,,,,
2008-06-03,,,http://sos.iowa.gov/elections/pdf/2008/WinnerList2008Primary.pdf,primary,FALSE,state,,TRUE,,
2009-11-24,State House,33,http://sos.iowa.gov/elections/pdf/2009/HD33officialcanvass.pdf,general,TRUE,county,,,,
2009-11-24,State House,33,http://sos.iowa.gov/elections/pdf/2009/HD33precinctresults.pdf,general,TRUE,precinct,,,,
2009-09-01,State House,90,http://sos.iowa.gov/elections/pdf/2009/HD90officialcanvass.pdf,general,TRUE,county,,,,
2009-09-01,State House,90,http://sos.iowa.gov/elections/pdf/2009/HD90precinctresults.pdf,general,TRUE,county,,,,
2010-11-02,,,http://sos.iowa.gov/elections/pdf/2010/gensummaryorr.pdf,general,TRUE,state,,,TRUE,This file is only useful for validation as it only has racewide totals for the state and the contest-specific PDFs have per-county results.
2010-11-02,,,http://sos.iowa.gov/elections/results/xls/2010/general/statewidepct.xlsx,general,FALSE,precinct,,,TRUE,The per-county files are preferable because they contain absentee results
2010-11-02,U.S. Senate,,http://sos.iowa.gov/elections/pdf/2010/senorr.pdf,general,FALSE,county,,,,
2010-11-02,U.S. House of Representatives,,http://sos.iowa.gov/elections/pdf/2010/usreporr.pdf,general,FALSE,county,,,,
2010-11-02,Governor,,http://sos.iowa.gov/elections/pdf/2010/govorr.pdf,general,FALSE,county,,,,
2010-11-02,,,http://sos.iowa.gov/elections/pdf/2010/statewideorr.pdf,general,FALSE,county,,,,
2010-11-02,State Senate,,http://sos.iowa.gov/elections/pdf/2010/stsenorr.pdf,general,FALSE,,,,,
2010-11-02,State House,,http://sos.iowa.gov/elections/pdf/2010/streporr.pdf,general,FALSE,,,,,
2010-11-02,,,http://sos.iowa.gov/elections/pdf/2010/genwinnerlist.pdf,general,FALSE,state,,TRUE,,
2010-06-08,,,http://sos.iowa.gov/elections/pdf/2010/canvsummary.pdf,primary,FALSE,county,,,,
2010-06-08,,,http://sos.iowa.gov/elections/pdf/2010/Winnerlist.pdf,primary,FALSE,state,,TRUE,,
2011-11-08,State Senate,18,http://sos.iowa.gov/elections/pdf/2011/SD18officialcanvass.pdf,general,TRUE,county,,,,
2011-11-08,State Senate,18,http://sos.iowa.gov/elections/pdf/2011/SD18precinctresults.pdf,general,TRUE,precinct,,,,
2011-01-18,State Senate,35,http://sos.iowa.gov/elections/pdf/2011/SD35officialcanvass.pdf,general,TRUE,county,,,,
2011-01-18,State Senate,35,http://sos.iowa.gov/elections/pdf/2011/SD35precinctresults.pdf,general,TRUE,precinct,,,,
2011-01-04,State Senate,48,http://sos.iowa.gov/elections/pdf/2011/SD48officialcanvass.pdf,general,TRUE,county,,,,
2011-01-04,State Senate,48,http://sos.iowa.gov/elections/pdf/2011/SD48precinctresults.pdf,general,TRUE,precinct,,,,
2012-12-11,State Senate,22,http://sos.iowa.gov/elections/pdf/2012/special/SS22canvsummary.pdf,general,TRUE,county,,,,
2012-12-11,State Senate,22,http://sos.iowa.gov/elections/results/xls/2012/special/Dallas.xls,general,TRUE,precinct,Dallas,,,
2012-12-11,State Senate,22,http://sos.iowa.gov/elections/results/xls/2012/special/Polk.xls,general,TRUE,precinct,Polk,,,
2012-11-06,,,http://sos.iowa.gov/elections/pdf/2012/general/canvsummary.pdf,general,FALSE,county,,,,
2012-11-06,,,http://sos.iowa.gov/elections/pdf/2012/general/Winnerlist.pdf,general,FALSE,state,,TRUE,,
2012-06-05,,,http://sos.iowa.gov/elections/pdf/2012/primary/canvsummary.pdf,primary,FALSE,county,,,,
2012-06-05,,,http://sos.iowa.gov/elections/pdf/2012/primary/Winnerlist.pdf,primary,FALSE,state,,TRUE,,
2013-01-22,State House,52,http://sos.iowa.gov/elections/pdf/2013/special/SH52canvsummary.pdf,general,TRUE,county,,,,
2013-01-22,State House,52,http://sos.iowa.gov/elections/results/xls/2013/CerroGordo.xls,general,TRUE,precinct,Cerro Gordo,,,
2013-01-22,State House,52,http://sos.iowa.gov/elections/results/xls/2013/Chickasaw.xls,general,TRUE,precinct,Chickasaw,,,
2013-01-22,State House,52,http://sos.iowa.gov/elections/results/xls/2013/Floyd.xls,general,TRUE,precinct,Floyd,,,
2013-10-22,State House,33,http://sos.iowa.gov/elections/pdf/2013/special/SH33canvsummary.pdf,general,TRUE,county,,,,
2013-10-22,State House,33,http://sos.iowa.gov/elections/results/xls/2013/PolkSH33.xls,general,TRUE,precinct,Polk,,,
2013-11-19,State Senate,13,http://sos.iowa.gov/elections/pdf/2013/special/SS13canvsummary.pdf,general,TRUE,county,,,,
2013-11-19,State Senate,13,http://sos.iowa.gov/elections/pdf/2013/special/SS13Madisonresults.pdf,general,TRUE,precinct,Madison,,,
2013-11-19,State Senate,13,http://sos.iowa.gov/elections/pdf/2013/special/SS13Warrenresults.pdf,general,TRUE,precinct,Warren,,,
2014-01-07,State House,25,http://sos.iowa.gov/elections/pdf/2014/special/SH25canvsummary.pdf,general,TRUE,county,,,,
2014-01-07,State House,25,http://sos.iowa.gov/elections/pdf/2014/special/SH25Madisonresults.pdf,general,TRUE,precinct,Madison,,,
2014-01-07,State House,25,http://sos.iowa.gov/elections/pdf/2014/special/SH25Warrenresults.pdf,general,TRUE,precinct,Warren,,,
2014-06-03,,,http://sos.iowa.gov/elections/pdf/2014/primary/canvsummary.pdf,primary,FALSE,county,,,,
