date,race_type,county,party,special,office,district,url,path
2014-06-10,primary,,Democratic,,,,https://voterinfo.sbe.virginia.gov/SBE_CSV/ELECTIONS/ELECTIONRESULTS/2014/2014%20June%20Democratic%20Primary.csv,20140610__va__democratic__primary__precinct.csv
2014-06-10,primary,,Republican,,,,https://voterinfo.sbe.virginia.gov/SBE_CSV/ELECTIONS/ELECTIONRESULTS/2014/2014%20June%20Republican%20Primary.csv,20140610__va__republican__primary__precinct.csv
2013-06-11,primary,,Democratic,,,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2013/2013%20June%20Democratic%20Primary.csv,20130611__va__democratic__primary__precinct.csv
2013-06-11,primary,,Republican,,,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2013/2013%20June%20Republican%20Primary.csv,20130611__va__republican__primary__precinct.csv
2012-09-04,general,,,TRUE,State House,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2012/2012%20September%20Special%20-%20HOD%2045.csv,20120904__va__special__general__state_house__precinct.csv
2012-09-04,general,,,TRUE,State Senate,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2012/2012%20September%20Special%20-%20SOV%205%20.csv,20120904__va__special__general__state_senate__precinct.csv
2012-06-12,primary,,Democratic,,,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2012/2012%20June%20Democratic%20Primary.csv,20120612__va__democratic__primary__precinct.csv
2012-06-12,primary,,Republican,,,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2012/2012%20June%20Republican%20Primary.csv ,20120612__va__republican__primary__precinct.csv
2011-08-23,primary,,Democratic,,,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2011/2011%20August%20Democratic%20Primary.csv,20110823__va__democratic__primary__precinct.csv
2011-08-23,primary,,Republican,,,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2011/2011%20August%20Republican%20Primary.csv,20110823__va__republican__primary__precinct.csv
2011-01-11,general,,,TRUE,State House,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2011/2011%20January%20Special%20-%20HOD%208.csv,20110111__va__special__general__state_house__precinct.csv
2011-01-11,general,,,TRUE,State Senate,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2011/2011%20January%20Special%20-%20SOV%2019.csv,20110111__va__special__general__state_senate__precinct.csv
2010-06-15,general,,,TRUE,State House,26,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2010/2010%20June%20Special%20-%20HOD%2026.csv,20100615__va__special__general__state_house__26__precinct.csv
2010-06-15,general,,,TRUE,State House,27,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2010/2010%20June%20Special%20-%20HOD%2027.csv,20100615__va__special__general__state_house__27__precinct.csv
2010-01-12,general,,,TRUE,State Senate,37,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2010/2010%20January%20Special%20-%20SOV%2037.csv,20100112__va__special__general__state_senate__37__precinct.csv
2010-01-12,general,,,TRUE,State Senate,8,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2010/2010%20January%20Special%20-%20SOV%208.csv,20100112__va__special__general__state_senate__8__precinct.csv
2009-06-09,primary,,Democratic,,,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2009/2009%20June%20Democratic%20Primary.csv,20090609__va__democratic__primary__precinct.csv
2009-06-09,primary,,Republican,,,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2009/2009%20June%20Republican%20Primary.csv,20090609__va__republican__primary__precinct.csv
2008-06-10,primary,,Democratic,,,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2008/2008%20June%20Democratic%20Primary.csv,20080610__va__democratic__primary__precinct.csv
2008-06-10,primary,,Republican,,,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2008/2008%20June%20Republican%20Primary.csv,20080610__va__republican__primary__precinct.csv
2008-02-12,primary,,Democratic,,President,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2008/2008%20February%20Democratic%20Presidential%20Primary.csv,20080212__va__democratic__primary__president__precinct.csv
2008-02-12,primary,,Republican,,President,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2008/2008%20February%20Republican%20Presidential%20Primary.csv,20080212__va__republican__primary__president__precinct.csv
2007-06-12,primary,,Democratic,,,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2007/2007%20June%20Democratic%20Primary.csv,20070612__va__democratic__primary__precinct.csv
2007-06-12,primary,,Republican,,,,https://voterinfo.sbe.virginia.gov/sbe_csv/ELECTIONS/ELECTIONRESULTS/2007/2007%20June%20Republican%20Primary.csv,20070612__va__republican__primary__precinct.csv
2016-06-14,primary,,Democratic,,,,https://apps.elections.virginia.gov/SBE_CSV/ELECTIONS/ELECTIONRESULTS/2016/2016%20June%20Democratic%20Primary.csv,20160614__va__democratic__primary__precinct.csv
2016-06-14,primary,,Republican,,,,https://apps.elections.virginia.gov/SBE_CSV/ELECTIONS/ELECTIONRESULTS/2016/2016%20June%20Republican%20Primary.csv,20160614__va__republican__primary__precinct.csv
2016-03-01,primary,,Democratic,,President,,https://apps.elections.virginia.gov/SBE_CSV/ELECTIONS/ELECTIONRESULTS/2016/2016%20March%20Democratic%20Presidential%20Primary.csv,20160301__va__democratic__primary__president__precinct.csv
2016-03-01,primary,,Republican,,President,,https://apps.elections.virginia.gov/SBE_CSV/ELECTIONS/ELECTIONRESULTS/2016/2016%20March%20Republican%20Presidential%20Primary.csv,20160301__va__republican__primary__president__precinct.csv
2017-06-13,primary,,Democratic,,,,https://apps.elections.virginia.gov/SBE_CSV/ELECTIONS/ELECTIONRESULTS/2017/2017%20June%20Democratic%20Primary.csv,20170613__va__democratic__primary__precinct.csv
2017-06-13,primary,,Republican,,,,https://apps.elections.virginia.gov/SBE_CSV/ELECTIONS/ELECTIONRESULTS/2017/2017%20June%20Republican%20Primary.csv,20170613__va__republican__primary__precinct.csv
2018-06-12,primary,,Democratic,,,,https://apps.elections.virginia.gov/SBE_CSV/ELECTIONS/ELECTIONRESULTS/2018/2018%20June%20Democratic%20Primary%20.csv,20180612__va__democratic__primary__precinct.csv
2018-06-12,primary,,Republican,,,,https://apps.elections.virginia.gov/SBE_CSV/ELECTIONS/ELECTIONRESULTS/2018/2018%20June%20Republican%20Primary%20.csv,20180612__va__republican__primary__precinct.csv
2018-11-06,general,,,,,,https://apps.elections.virginia.gov/SBE_CSV/ELECTIONS/ELECTIONRESULTS/2018/2018%20November%20General.csv,20181106__va__general__precinct.csv
2019-11-05,general,,,,,,https://apps.elections.virginia.gov/SBE_CSV/ELECTIONS/ELECTIONRESULTS/2019/2019%20November%20General.csv,20191105__va__general__precinct.csv
2020-11-03,general,,,,,,https://apps.elections.virginia.gov/SBE_CSV/ELECTIONS/ELECTIONRESULTS/2020/2020%20November%20General.csv,20201103__va__general__precinct.csv
